# delta_large,l2,l1,Huber,BO
2.205130739903045534e+00,2.646146113559511015e-01,2.788672561879241840e-01,2.310106644114640062e-01,2.136495369111459652e-01
2.420128264794383366e+00,2.717817194230396360e-01,2.789978976629381435e-01,2.325541480679829132e-01,2.155838647720100809e-01
2.656087782946686904e+00,2.796492475613105988e-01,2.791267600887357148e-01,2.340590487426030819e-01,2.172371008878872800e-01
2.915053062825178731e+00,2.881582395180664058e-01,2.792428654674496968e-01,2.354900738640259839e-01,2.185980271495867600e-01
3.199267137797384475e+00,2.972565585247060049e-01,2.793594863766624137e-01,2.368596768508919315e-01,2.196480285084936313e-01
3.511191734215134641e+00,3.069653622996904030e-01,2.794633514918081207e-01,2.381605632587262544e-01,2.204049621359257527e-01
3.853528593710531247e+00,3.173035136124091604e-01,2.795741571063252717e-01,2.394010704451614568e-01,2.208560225764295559e-01
4.229242874389498752e+00,3.282905397624411581e-01,2.796989792010597942e-01,2.405952608002217552e-01,2.210184859241417499e-01
4.641588833612781961e+00,3.399297962733867084e-01,2.798046792244708314e-01,2.417180673112950817e-01,2.209254754710001656e-01
5.094138014816380178e+00,3.522321366121836661e-01,2.799074749024081932e-01,2.427925173964013972e-01,2.205778963199176435e-01
5.590810182512228721e+00,3.651901081562436424e-01,2.800073960798277195e-01,2.438024227554955736e-01,2.200125843815621263e-01
6.135907273413176100e+00,3.788097638268468348e-01,2.800975838570556320e-01,2.447634256443649292e-01,2.192478281816372387e-01
6.734150657750828550e+00,3.930789175271043323e-01,2.801920842546550272e-01,2.456766087920065900e-01,2.183075690539121316e-01
7.390722033525782386e+00,4.079811975016274239e-01,2.802922399505778372e-01,2.465469038369545451e-01,2.172173272433648439e-01
8.111308307896871739e+00,4.234888683713644575e-01,2.803816166736436966e-01,2.473664708153551217e-01,2.159976866729593770e-01
8.902150854450392004e+00,4.395740370654006579e-01,2.804513790543199381e-01,2.481382106411378352e-01,2.146616307535733625e-01
9.770099572992256398e+00,4.561987867674379693e-01,2.805312861024036319e-01,2.488804613600446025e-01,2.132440046153015745e-01
1.072267222010324339e+01,4.733166634177097265e-01,2.806179394387071646e-01,2.495692778892202313e-01,2.117504612762264316e-01
1.176811952434999142e+01,4.908789520100869108e-01,2.806957791031703398e-01,2.502412176625961049e-01,2.101936817548044623e-01
1.291549665014884063e+01,5.088238688995418979e-01,2.807691682665793831e-01,2.508685068423244235e-01,2.085953815285847002e-01
1.417474162926806258e+01,5.270888484828172293e-01,2.808381043108791886e-01,2.514551202793222640e-01,2.069585068531956118e-01
1.555676143930472222e+01,5.456057342229589935e-01,2.809168884026598256e-01,2.520261747804430907e-01,2.053040312404182943e-01
1.707352647470692020e+01,5.643005877154754213e-01,2.809698703700331812e-01,2.525525552149092690e-01,2.036254787684390610e-01
1.873817422860384951e+01,5.830988649639766708e-01,2.810437783209325247e-01,2.530646165247154578e-01,2.019509284136887795e-01
2.056512308348653661e+01,6.019244996600201514e-01,2.811044857946902731e-01,2.535459376035129608e-01,2.002795871520588467e-01
2.257019719633921540e+01,6.206947688439353739e-01,2.811597817294899659e-01,2.539980347151646889e-01,1.986149610014704692e-01
2.477076355991711409e+01,6.393404128460705715e-01,2.812144529164986029e-01,2.544325575268420181e-01,1.969570842112219333e-01
2.718588242732942817e+01,6.577767956010314165e-01,2.812693505663930171e-01,2.548401139548630567e-01,1.953170610670085239e-01
2.983647240283340452e+01,6.759408340806193349e-01,2.813163513408263317e-01,2.552233317984049510e-01,1.937100708650234537e-01
3.274549162877731590e+01,6.937619840679289940e-01,2.813648121718470563e-01,2.555905929077084693e-01,1.921171725304727795e-01
3.593813663804629499e+01,7.111780601935085988e-01,2.814120957597221473e-01,2.559340787107597937e-01,1.905545071384366906e-01
3.944206059437659917e+01,7.281332170432850415e-01,2.814603995496645084e-01,2.562685730557876518e-01,1.890221645613219259e-01
4.328761281083061618e+01,7.445764440641351456e-01,2.814998536226589465e-01,2.565771582354328118e-01,1.875160791619119305e-01
4.750810162102798273e+01,7.604655154120927296e-01,2.815399557247086904e-01,2.568733662808166951e-01,1.860456578089224600e-01
5.214008287999689628e+01,7.757649338414239759e-01,2.815797234568313545e-01,2.571564219008233287e-01,1.846088276643260695e-01
5.722367659350219782e+01,7.904470659563165302e-01,2.816182340290063202e-01,2.574231053171367467e-01,1.832056862386906015e-01
6.280291441834259558e+01,8.044876032488802453e-01,2.816534249943927204e-01,2.576783448909347740e-01,1.818351466128191873e-01
6.892612104349701951e+01,8.178768633804476273e-01,2.816887356727362235e-01,2.579172558273368221e-01,1.805007443021133806e-01
7.564633275546290747e+01,8.306021228681075286e-01,2.817065355127879034e-01,2.581368722894459289e-01,1.792030981888789176e-01
8.302175681319752698e+01,8.426654530676862542e-01,2.817490663312809396e-01,2.583636968961393610e-01,1.779361413193037977e-01
9.111627561154895716e+01,8.540639561430144466e-01,2.817653587464588050e-01,2.585626340482427565e-01,1.767101274799413035e-01
1.000000000000000000e+02,8.648171996941864670e-01,2.818074103168701772e-01,2.587666874692136076e-01,1.755127310387232242e-01
