# # epsilon, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
2.155631142736309184e-04,1.111837889646016819e-02,9.954115063382706907e-02,1.696991986474372105e-02,3.888293760048920911e-01,1.100115463880624311e-02,9.938598955860020179e-02,9.442908378342076414e-01,1.098658403675845108e-02
2.192740382436435915e-04,1.112083452105960824e-02,9.953332841511117191e-02,1.697006448914328836e-02,3.888188448137542830e-01,1.100154354498084075e-02,9.937607316878550867e-02,9.429538752733639395e-01,1.098675163517015552e-02
2.230488458551480458e-04,1.112333244558261214e-02,9.952527425125845539e-02,1.697021160509648574e-02,3.888081655852285712e-01,1.100193832182982945e-02,9.936616415751162168e-02,9.416163202949771049e-01,1.098692181282290292e-02
2.268886368665025822e-04,1.112587339348247717e-02,9.951707836709594579e-02,1.697036125608319956e-02,3.887975608092888447e-01,1.100233904909564409e-02,9.935601865857257575e-02,9.402763991883875683e-01,1.098709460700431073e-02
2.307945299684299127e-04,1.112845810875251473e-02,9.950882087522155972e-02,1.697051348529576842e-02,3.887867338508464998e-01,1.100274582192328765e-02,9.934581523919515378e-02,9.389361533741771293e-01,1.098727005772626164e-02
2.347676631099396088e-04,1.113108734773637920e-02,9.950028945451702689e-02,1.697066833685023646e-02,3.887754251852061915e-01,1.100315872491997027e-02,9.933524177363876884e-02,9.375937796120685785e-01,1.098744820904995478e-02
2.388091938298594809e-04,1.113376187010972629e-02,9.949171131982130489e-02,1.697082585671982891e-02,3.887641910015293689e-01,1.100357785038097447e-02,9.932471263831693653e-02,9.362519671669763399e-01,1.098762909764361417e-02
2.429202995940749836e-04,1.113648246591081303e-02,9.948305801851325958e-02,1.697098609136626912e-02,3.887524751617278396e-01,1.100400329221606910e-02,9.931381741836345367e-02,9.349075072064003677e-01,1.098781276857163647e-02
2.471021781385738451e-04,1.113924992371728706e-02,9.947417777117728566e-02,1.697114908669550282e-02,3.887406113776957772e-01,1.100443513960436270e-02,9.930286808880313398e-02,9.335617697235749635e-01,1.098799926207716382e-02
2.513560478183963750e-04,1.114206505240522560e-02,9.946507063820263228e-02,1.697131488901759688e-02,3.887289055167908458e-01,1.100487349217948996e-02,9.929190912866409091e-02,9.322153441704416066e-01,1.098818862314798750e-02
2.556831479625929003e-04,1.114492867640026752e-02,9.945586948172766006e-02,1.697148354902067169e-02,3.887164492988101072e-01,1.100531844242014223e-02,9.928055005426070223e-02,9.308677354460310749e-01,1.098838089525999706e-02
2.600847392352918482e-04,1.114784162283033453e-02,9.944653520290058779e-02,1.697165511557940931e-02,3.887045866142001538e-01,1.100577008881042929e-02,9.926899546640129135e-02,9.295191552981016958e-01,1.098857611954318081e-02
2.645621040029836127e-04,1.115080475279350836e-02,9.943693743472493962e-02,1.697182963880239370e-02,3.886916863383840237e-01,1.100622853275856627e-02,9.925749807425035542e-02,9.281683950513217596e-01,1.098877434916478713e-02
2.691165467081273535e-04,1.115381892397881991e-02,9.942722679630358606e-02,1.697200716815383537e-02,3.886789440319437516e-01,1.100669386999753030e-02,9.924555359757300521e-02,9.268165017927213478e-01,1.098897561631639874e-02
2.737493942491888484e-04,1.115688501927514231e-02,9.941752184724639285e-02,1.697218775701347937e-02,3.886661928764006957e-01,1.100716620558728209e-02,9.923361331918230388e-02,9.254645853977518932e-01,1.098917998108850380e-02
2.784619963672218309e-04,1.116000393501392907e-02,9.940735800758002116e-02,1.697237145875996056e-02,3.886530726365269306e-01,1.100764564410239288e-02,9.922131559026611813e-02,9.241098560424498842e-01,1.098938748187872072e-02
2.832557260391031307e-04,1.116317657663845608e-02,9.939719520700246447e-02,1.697255832108135465e-02,3.886394327734430387e-01,1.100813228514829767e-02,9.920885645314687917e-02,9.227549476499392611e-01,1.098959817098066338e-02
2.881319798775380608e-04,1.116640387684886271e-02,9.938686281881355111e-02,1.697274841190088424e-02,3.886254968806968080e-01,1.100862624173526427e-02,9.919641515834379253e-02,9.213983338845125326e-01,1.098981209531624259e-02
2.930921785379518975e-04,1.116968677429763801e-02,9.937624715658621710e-02,1.697294177498998025e-02,3.886117004709741529e-01,1.100912761798222839e-02,9.918340475609307982e-02,9.200412037278427047e-01,1.099002930613335316e-02
2.981377671323853069e-04,1.117302622641935805e-02,9.936555681017425479e-02,1.697313846982551055e-02,3.885976173290580094e-01,1.100963652235087409e-02,9.917048921595075783e-02,9.186818352006602684e-01,1.099024984870200505e-02
3.032702156505173155e-04,1.117642320965051006e-02,9.935464966029781964e-02,1.697333855405624981e-02,3.885833864592828091e-01,1.101015306722463727e-02,9.915738630337499193e-02,9.173222020036477797e-01,1.099047377947648396e-02
3.084910193879309153e-04,1.117987871652803555e-02,9.934357315411676548e-02,1.697354208607548820e-02,3.885687160445379651e-01,1.101067736597416413e-02,9.914401428786873138e-02,9.159605132849937270e-01,1.099070114647027196e-02
3.138016993817589403e-04,1.118339375377552791e-02,9.933239366723914388e-02,1.697374912695415183e-02,3.885533745291454011e-01,1.101120953041867523e-02,9.913031440142452966e-02,9.145977627044207248e-01,1.099093200420320215e-02
3.192038028538224316e-04,1.118696934945284660e-02,9.932076073081649858e-02,1.697395973640136724e-02,3.885385523941917718e-01,1.101174967821894057e-02,9.911641013887953489e-02,9.132345509510870762e-01,1.099116639094877002e-02
3.246989036614018930e-04,1.119060655229064949e-02,9.930893971742385529e-02,1.697417397419176410e-02,3.885229897461809911e-01,1.101229792871327717e-02,9.910244909523542589e-02,9.118695013491264767e-01,1.099140440082102543e-02
3.302886027557670984e-04,1.119430641356800038e-02,9.929727401207708026e-02,1.697439190572613832e-02,3.885074091953016340e-01,1.101285439880173023e-02,9.908817696554145238e-02,9.105026915271965393e-01,1.099164604846825100e-02
3.359745286486007037e-04,1.119807002276385077e-02,9.928513382335604764e-02,1.697461359278529258e-02,3.884914043411074047e-01,1.101341920979415079e-02,9.907365944338211716e-02,9.091356134487541540e-01,1.099189140628265005e-02
3.417583378864515685e-04,1.120189847707742103e-02,9.927282468467937826e-02,1.697483910166375232e-02,3.884753989884505709e-01,1.101399248543977194e-02,9.905897028228849432e-02,9.077658542806004149e-01,1.099214052331909386e-02
3.476417155333553187e-04,1.120579289270673407e-02,9.926041293072337957e-02,1.697506849646490679e-02,3.884587274329748818e-01,1.101457434815489300e-02,9.904390462904462400e-02,9.063964676184443903e-01,1.099239346392288930e-02
3.536263756617638544e-04,1.120975440845173310e-02,9.924769034361677345e-02,1.697530184544282505e-02,3.884421306855869727e-01,1.101516492565091099e-02,9.902879107674958381e-02,9.050250250950284681e-01,1.099265028370643993e-02
3.597140618519256727e-04,1.121378418197482851e-02,9.923467597229579384e-02,1.697553921745598160e-02,3.884249419316351259e-01,1.101576434666129423e-02,9.901342058065329410e-02,9.036520194345525336e-01,1.099291104237631878e-02
3.659065476998634250e-04,1.121788339126528200e-02,9.922148349618481467e-02,1.697578067950611391e-02,3.884077539382939648e-01,1.101637273903244285e-02,9.899773999896580023e-02,9.022780342324915326e-01,1.099317579821912361e-02
3.722056373340959989e-04,1.122205323004554778e-02,9.920808459895366638e-02,1.697602630473493690e-02,3.883899740423312208e-01,1.101699023691127266e-02,9.898188309038605248e-02,9.009022527732143404e-01,1.099344461133822115e-02
3.786131659412562619e-04,1.122629491699100868e-02,9.919445571121784933e-02,1.697627616422181518e-02,3.883717481682312789e-01,1.101761697375658322e-02,9.896565916299422672e-02,8.995264633338257987e-01,1.099371754489586461e-02
3.851310003007572314e-04,1.123060969470435211e-02,9.918054135069040433e-02,1.697653033188739613e-02,3.883536736163527570e-01,1.101825308389203784e-02,9.894930735772616837e-02,8.981488257946225184e-01,1.099399466339823217e-02
3.917610393286623618e-04,1.123499882150591489e-02,9.916661830106232589e-02,1.697678887964459982e-02,3.883353036153119886e-01,1.101889870517913650e-02,9.893270152012767493e-02,8.967696302211923820e-01,1.099427603329128367e-02
3.985052146309184598e-04,1.123946358353888897e-02,9.915220542814795479e-02,1.697705188600195925e-02,3.883160086197003924e-01,1.101955398113707574e-02,9.891576989632953898e-02,8.953891565620755166e-01,1.099456171122858983e-02
4.053654910661147253e-04,1.124400528011326728e-02,9.913752988504716257e-02,1.697731942549984829e-02,3.882970525061795741e-01,1.102021904584882250e-02,9.889851891042690524e-02,8.940074840461208483e-01,1.099485176611358916e-02
4.123438673179233380e-04,1.124862523937886216e-02,9.912278087814439809e-02,1.697759157768441440e-02,3.882775001948809424e-01,1.102089405044726078e-02,9.888105669211769144e-02,8.926244898539968942e-01,1.099514626630360148e-02
4.194423764774051996e-04,1.125332481340679536e-02,9.910780719145778628e-02,1.697786842197857027e-02,3.882573564036720937e-01,1.102157913640278153e-02,9.886340722368541778e-02,8.912402748836344424e-01,1.099544527800988547e-02
4.266630866353270904e-04,1.125810537401505940e-02,9.909230647393288405e-02,1.697815003891678387e-02,3.882370655490932077e-01,1.102227445039205556e-02,9.884529475318321046e-02,8.898547117850987842e-01,1.099574886866827583e-02
4.340081014846890292e-04,1.126296831747275462e-02,9.907686429119672011e-02,1.697843651145314325e-02,3.882164795535673618e-01,1.102298014672609128e-02,9.882715134676314794e-02,8.884679737096301544e-01,1.099605711074402858e-02
4.414795609336126482e-04,1.126791506866031689e-02,9.906087708050520524e-02,1.697872792382781881e-02,3.881958946495993601e-01,1.102369637611699815e-02,9.880846429394987696e-02,8.870802899832930244e-01,1.099637007443776682e-02
4.490796417287875285e-04,1.127294707090342740e-02,9.904470350590863226e-02,1.697902436078990718e-02,3.881741978859400422e-01,1.102442329020614231e-02,9.878971714964382422e-02,8.856903765575774301e-01,1.099668782952689661e-02
4.568105580896475600e-04,1.127806579485657323e-02,9.902830587662031503e-02,1.697932590930584240e-02,3.881524306102864807e-01,1.102516104873352276e-02,9.877048445865005410e-02,8.842999497868244685e-01,1.099701044854117793e-02
4.646745623534651081e-04,1.128327273560980615e-02,9.901164652798306876e-02,1.697963265734903082e-02,3.881305176436386506e-01,1.102590980879258886e-02,9.875103815806517138e-02,8.829076860407873983e-01,1.099733800910052128e-02
4.726739456315506090e-04,1.128856941915934442e-02,9.899464060991923497e-02,1.697994469540642370e-02,3.881077904271247325e-01,1.102666973457577804e-02,9.873122767229233765e-02,8.815143748217781905e-01,1.099767058171330358e-02
4.808110384767481970e-04,1.129395738931204818e-02,9.897726941901632824e-02,1.698026211290737386e-02,3.880852496056326206e-01,1.102744098339325518e-02,9.871131725211024222e-02,8.801192679857573475e-01,1.099800824700669644e-02
4.890882115624230067e-04,1.129943822403345344e-02,9.895975024901418338e-02,1.698058500523025316e-02,3.880621734382275756e-01,1.102822372492173741e-02,9.869095274782302418e-02,8.787233141148294013e-01,1.099835108035474018e-02
4.975078763731365008e-04,1.130501352774837542e-02,9.894185667845065146e-02,1.698091346688967995e-02,3.880383399688659418e-01,1.102901812932888248e-02,9.867015298885105368e-02,8.773266967253636750e-01,1.099869916205165055e-02
5.060724859072124587e-04,1.131068492538256365e-02,9.892366439675853718e-02,1.698124759206387502e-02,3.880143599383961139e-01,1.102982436158717050e-02,9.864918308167525129e-02,8.759279935092353364e-01,1.099905256811994914e-02
5.147845353913972416e-04,1.131645408297865529e-02,9.890509809622020920e-02,1.698158747968436799e-02,3.879899373426510811e-01,1.103064260015207410e-02,9.862786101629852920e-02,8.745278317782410049e-01,1.099941138098758930e-02
5.236465630078229868e-04,1.132232267814314852e-02,9.888623344585700803e-02,1.698193322995633636e-02,3.879651092664833656e-01,1.103147301689277882e-02,9.860615715763834666e-02,8.731264614503067012e-01,1.099977568509857839e-02
5.326611506334855313e-04,1.132829243335398139e-02,9.886731581048366357e-02,1.698228494380771281e-02,3.879396445422810258e-01,1.103231579302788035e-02,9.858434754872077987e-02,8.717239623025467843e-01,1.100014556240858088e-02
5.418309245924527113e-04,1.133436509390417513e-02,9.884770406876100535e-02,1.698264272418326115e-02,3.879140427514691236e-01,1.103317110646884203e-02,9.856192138598041108e-02,8.703199285556720843e-01,1.100052109909777087e-02
5.511585564210209637e-04,1.134054243405824280e-02,9.882796424138368119e-02,1.698300667475760584e-02,3.878877027629095142e-01,1.103403913981515494e-02,9.853922763720035505e-02,8.689139398209420051e-01,1.100090237637130208e-02
5.606467636460476947e-04,1.134682626418781481e-02,9.880777595752013309e-02,1.698337690421869439e-02,3.878611426117537508e-01,1.103492008009099301e-02,9.851620891361845267e-02,8.675083376540229096e-01,1.100128948854184330e-02
5.702983105766738694e-04,1.135321841657432884e-02,9.878723372199429975e-02,1.698375351968839375e-02,3.878341404074208132e-01,1.103581411680121249e-02,9.849283437215489156e-02,8.660997263380555422e-01,1.100168251825539567e-02
5.801160091096898772e-04,1.135972076954194776e-02,9.876643196684654902e-02,1.698413663080344804e-02,3.878069181624581585e-01,1.103672144011635936e-02,9.846900191501245514e-02,8.646901527944232946e-01,1.100208155698700896e-02
5.901027195487514292e-04,1.136633521870122898e-02,9.874525782791322703e-02,1.698452635221903151e-02,3.877785143354443020e-01,1.103764224411452055e-02,9.844495691191791631e-02,8.632797680515479355e-01,1.100248669760395259e-02
6.002613514377084071e-04,1.137306369936119665e-02,9.872371154515355296e-02,1.698492279702801255e-02,3.877502605145527470e-01,1.103857672567842840e-02,9.842042226532884963e-02,8.618674966050514641e-01,1.100289803230292129e-02
6.105948644082747788e-04,1.137990818683221050e-02,9.870168038241325381e-02,1.698532608117764298e-02,3.877206775173821507e-01,1.103952508353023276e-02,9.839557018262234944e-02,8.604539416998528978e-01,1.100331565766188291e-02
6.211062690422926346e-04,1.138687067608823433e-02,9.867942822592445928e-02,1.698573632432309743e-02,3.876916791480370938e-01,1.104048752039155090e-02,9.837037603025500232e-02,8.590391846085411176e-01,1.100373966219247990e-02
6.317986277488396021e-04,1.139395321290836982e-02,9.865661643793582902e-02,1.698615364392019877e-02,3.876617678618325957e-01,1.104146424333141141e-02,9.834467811331876197e-02,8.576234020298301175e-01,1.100417015106969210e-02
6.426750556564360525e-04,1.140115786163731215e-02,9.863373465433816767e-02,1.698657816596682579e-02,3.876313043287440419e-01,1.104245545942950102e-02,9.831860758977575832e-02,8.562058223799813295e-01,1.100460721696727706e-02
6.537387215206116571e-04,1.140848673710537220e-02,9.861025146203121483e-02,1.698701001197666649e-02,3.876005474503487758e-01,1.104346137849199216e-02,9.829221669396251415e-02,8.547870171326592548e-01,1.100505096061377142e-02
6.649928486470950808e-04,1.141594198273954142e-02,9.858627073567202692e-02,1.698744930961071375e-02,3.875684622915060995e-01,1.104448221574072520e-02,9.826534491069383037e-02,8.533666273414555192e-01,1.100550148649515059e-02
6.764407158308975362e-04,1.142352578086169856e-02,9.856204198928780746e-02,1.698789618866825002e-02,3.875368233255445105e-01,1.104551818730969970e-02,9.823811158009976285e-02,8.519451830122466429e-01,1.100595889700639596e-02
6.880856583115615771e-04,1.143124035188125553e-02,9.853730221892155472e-02,1.698835077465110643e-02,3.875040042738865931e-01,1.104656951687577049e-02,9.821045967539457355e-02,8.505217531920574725e-01,1.100642329262069286e-02
6.999310687448552851e-04,1.143908795560100167e-02,9.851211759043998484e-02,1.698881321150014223e-02,3.874705967173657228e-01,1.104763642592598849e-02,9.818231647014184771e-02,8.490973411755426969e-01,1.100689478510741282e-02
7.119803981911938546e-04,1.144707089164964664e-02,9.848655421001133170e-02,1.698928363154106336e-02,3.874368964243773417e-01,1.104871914414284895e-02,9.815374062211926209e-02,8.476716171417533197e-01,1.100737347805202937e-02
7.242371571210767540e-04,1.145519149477269849e-02,9.846048088061155890e-02,1.698976216741288070e-02,3.874024600852405409e-01,1.104981789633319167e-02,9.812480762378178456e-02,8.462446185336727211e-01,1.100785948433313788e-02
7.367049164378331990e-04,1.146345214223498665e-02,9.843400129724486081e-02,1.699024896272893770e-02,3.873675834599581425e-01,1.105093292087055978e-02,9.809537438534110532e-02,8.448157305068411116e-01,1.100835291199087074e-02
7.493873085179784304e-04,1.147185525786831306e-02,9.840722843846305690e-02,1.699074416112589248e-02,3.873321004273584389e-01,1.105206445075723742e-02,9.806552000469340169e-02,8.433859869520237140e-01,1.100885387372840807e-02
7.622880282694673507e-04,1.148040329920796410e-02,9.837974961338333268e-02,1.699124790712058797e-02,3.872959003371009290e-01,1.105321272870551930e-02,9.803510691277025901e-02,8.419542425585908596e-01,1.100936248771200443e-02
7.754108342081867181e-04,1.148909877184767225e-02,9.835199699465503598e-02,1.699176034844307459e-02,3.872586694384784201e-01,1.105437799891428874e-02,9.800437581242829599e-02,8.405217883752823527e-01,1.100987886626880741e-02
7.887595495529544547e-04,1.149794422427330431e-02,9.832378263976233879e-02,1.699228163648713874e-02,3.872214190364605679e-01,1.105556050582690020e-02,9.797305390892434296e-02,8.390876071323423169e-01,1.101040312937462406e-02
8.023380633393936137e-04,1.150694224857407022e-02,9.829478930633470113e-02,1.699281192432922083e-02,3.871833090182601467e-01,1.105676050062776028e-02,9.794128699304124885e-02,8.376519615152215881e-01,1.101093539627839846e-02
8.161503315529621385e-04,1.151609548157495055e-02,9.826569203288892940e-02,1.699335136712654126e-02,3.871443165585506940e-01,1.105797824004994823e-02,9.790905462653766433e-02,8.362148668351621073e-01,1.101147578748207234e-02
8.302003782814991288e-04,1.152540660207446166e-02,9.823572246624603932e-02,1.699390012509671699e-02,3.871053257181342744e-01,1.105921398090070618e-02,9.787639976363676775e-02,8.347765674803826474e-01,1.101202442984228203e-02
8.444922968876086454e-04,1.153487834345146013e-02,9.820544351126224425e-02,1.699445835725721388e-02,3.870651597602655647e-01,1.106046798306503653e-02,9.784306199160305861e-02,8.333368044518972839e-01,1.101258144593553201e-02
8.590302512012257209e-04,1.154451348171336988e-02,9.817473370584295367e-02,1.699502622920467942e-02,3.870242597018040409e-01,1.106174051409958281e-02,9.780938844592143577e-02,8.318956235965828672e-01,1.101314696039823460e-02
