# alpha,err_hub,lambda_hub,a_hub
3.673924781802074335e+01,7.051624679388734940e-02,-2.122656516742375210e+00,9.626269687253526941e-01
3.707987629168168553e+01,6.987735513891868422e-02,-2.154217164868686751e+00,9.626506671660004510e-01
3.742366290721980704e+01,6.924411715150302626e-02,-2.186066586629423547e+00,9.626744330255179172e-01
3.777063694539364747e+01,6.861648619578275543e-02,-2.218207801839956694e+00,9.626982936242176603e-01
3.812082795843888050e+01,6.799441593344690560e-02,-2.250643613849236502e+00,9.627223017239791014e-01
3.847426577258502078e+01,6.737786032418791038e-02,-2.283376394686376987e+00,9.627461831225504474e-01
3.883098049059604762e+01,6.676677362607330579e-02,-2.316408767736734653e+00,9.627699864438745703e-01
3.919100249433402183e+01,6.616111039584660070e-02,-2.349744281641710675e+00,9.627939452004691256e-01
3.955436244734701745e+01,6.556082548914865527e-02,-2.383385113810040146e+00,9.628178465253824925e-01
3.992109129748049412e+01,6.496587406067266812e-02,-2.417334145343842611e+00,9.628416377305409890e-01
4.029122027951348173e+01,6.437621156424411240e-02,-2.451594590667879103e+00,9.628655290174452652e-01
4.066478091781853976e+01,6.379179375283738906e-02,-2.486169686907568455e+00,9.628894866505846029e-01
4.104180502904709016e+01,6.321257667852497875e-02,-2.521061469910370167e+00,9.629132807643197012e-01
4.142232472483893702e+01,6.263851669236153441e-02,-2.556273651939839908e+00,9.629370964051506832e-01
4.180637241455757902e+01,6.206957044421024250e-02,-2.591809084534800078e+00,9.629610195207540801e-01
4.219398080805024165e+01,6.150569488250678951e-02,-2.627670622683341062e+00,9.629848333081580947e-01
4.258518291843414261e+01,6.094684725396559699e-02,-2.663861181993867788e+00,9.630085678637203550e-01
4.298001206490793891e+01,6.039298510323276581e-02,-2.700384242355178266e+00,9.630322332200675906e-01
4.337850187558989035e+01,5.984406627248151089e-02,-2.737242481204323674e+00,9.630558698908003867e-01
4.378068629038166648e+01,5.930004890095852410e-02,-2.774439724005026697e+00,9.630795979747333035e-01
4.418659956385938870e+01,5.876089142447837865e-02,-2.811978477117302422e+00,9.631032081540380485e-01
4.459627626819091262e+01,5.822655257486886171e-02,-2.849862273089226683e+00,9.631268250853918245e-01
4.500975129608044512e+01,5.769699137936967759e-02,-2.888094001808262590e+00,9.631503163766930165e-01
4.542705986374043192e+01,5.717216715998585386e-02,-2.926677060195728153e+00,9.631737035550046455e-01
4.584823751389093616e+01,5.665203953279718263e-02,-2.965615190021226422e+00,9.631972271442919009e-01
4.627332011878688434e+01,5.613656840722458519e-02,-3.004911267383620910e+00,9.632206292892081523e-01
4.670234388327332908e+01,5.562571398525650856e-02,-3.044568927940551006e+00,9.632439277477005124e-01
4.713534534786906960e+01,5.511943676063535413e-02,-3.084591287813687188e+00,9.632672900390714110e-01
