# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
1.321941148466028615e+00,8.382670528176658920e-01,6.811987379353419136e-01,9.920257539850302342e-01,9.859326965757928551e-01,9.753382075579594135e-01,9.572414550233703245e-01,9.273141349805263944e-01,8.807167200205421320e-01,8.162736266761940751e-01,7.480293080478180867e-01,7.192008450658051721e-01,6.197755182845332556e-01
1.519911082952933201e+00,8.277577710054508930e-01,6.904535511557083893e-01,9.930551234216817846e-01,9.877358879337826414e-01,9.784599441206528470e-01,9.625329394171536768e-01,9.359479152195333551e-01,8.938552063095636102e-01,8.338102684732000558e-01,7.660240365627026815e-01,7.290721935401079934e-01,6.197755182845332556e-01
1.747528400007682947e+00,8.211481024283754371e-01,7.031041791856433854e-01,9.939526632966081410e-01,9.893112349640023062e-01,9.811967876386312737e-01,9.672011290663591332e-01,9.436507830862500557e-01,9.058178746893112976e-01,8.503867711722579159e-01,7.843323636408736643e-01,7.413721934943837688e-01,6.197755182845332556e-01
2.009233002565046000e+00,8.179927899415069259e-01,7.183360195461588882e-01,9.947350079051853200e-01,9.906867310568641116e-01,9.835936975970835938e-01,9.713117494176595201e-01,9.504999694925567733e-01,9.166433098568735893e-01,8.658779589296200507e-01,8.025302096157471698e-01,7.554937467687469210e-01,6.197755182845332556e-01
2.310129700083157989e+00,8.178504669795370052e-01,7.353950974669615226e-01,9.954167420410076073e-01,9.918871139593122832e-01,9.856909870952946795e-01,9.749255169431876311e-01,9.565723151452215633e-01,9.263878758653888434e-01,8.802143038783685203e-01,8.202753795886684740e-01,7.708748365203713648e-01,6.197755182845332556e-01
2.656087782946689568e+00,8.202874623728222403e-01,7.536028315252449872e-01,9.960106679954775499e-01,9.929342259737857779e-01,9.875246763013039164e-01,9.780980260078976363e-01,9.619423278464882543e-01,9.351194708054288984e-01,8.933712399509339264e-01,8.373046064929093868e-01,7.870082704583833966e-01,6.197755182845332556e-01
3.053855508833418497e+00,8.248824809630487254e-01,7.723676609349789945e-01,9.965279654069146842e-01,9.938472678864234133e-01,9.891267794296750848e-01,9.808797311114675344e-01,9.666808222762695024e-01,9.429124904716444933e-01,9.053590341241474215e-01,8.534271867346882035e-01,8.034498853224866233e-01,6.197755182845332556e-01
3.511191734215134641e+00,8.312317319292177320e-01,7.911916923058124329e-01,9.969784482557266792e-01,9.946431525559764619e-01,9.905257261525666213e-01,9.833162041749824445e-01,9.708541444744416271e-01,9.498440943061755570e-01,9.162139403077708133e-01,8.685163976053401624e-01,8.198236728892178693e-01,6.197755182845332556e-01
4.037017258596558023e+00,8.389541703039825604e-01,8.096718533442074373e-01,9.973706846479830634e-01,9.953367142695643821e-01,9.917466497703476547e-01,9.854483197450863985e-01,9.745236425137322467e-01,9.559912539395860609e-01,9.259904125491306148e-01,8.824995413722322990e-01,8.358232279840126511e-01,6.197755182845332556e-01
4.641588833612781961e+00,8.476965694873639379e-01,8.274962894721894502e-01,9.977121559560407915e-01,9.959409543959744093e-01,9.928117248534434891e-01,9.873126106958277637e-01,9.777455356288931032e-01,9.614287804741141752e-01,9.347548566790829794e-01,8.953479934713509669e-01,8.512099821702017177e-01,6.197755182845332556e-01
5.336699231206313065e+00,8.571377846623159380e-01,8.444366531686605670e-01,9.980093900439327426e-01,9.964672551719946370e-01,9.937404767782010984e-01,9.889415780491194186e-01,9.805709032321574536e-01,9.662278959243394416e-01,9.425805544867736918e-01,9.070675782572226176e-01,8.658083598908926648e-01,6.197755182845332556e-01
