# delta_large,l2,l1,Huber,BO
7.220809018385467848e-01,2.086038694325880183e-01,2.773821372052616141e-01,2.076924357344664962e-01,1.829738711377406624e-01
7.924828983539177196e-01,2.114498276378697916e-01,2.774999398807633799e-01,2.098438983430859217e-01,1.852986042168653924e-01
8.697490026177834288e-01,2.145483663075009595e-01,2.776201846666279671e-01,2.119852759524101238e-01,1.877394862512806739e-01
9.545484566618341882e-01,2.179194174943377416e-01,2.777425241726172445e-01,2.141041025690904043e-01,1.902868960142767296e-01
1.047615752789665233e+00,2.215840143129370610e-01,2.778665942169527003e-01,2.161903065668846491e-01,1.929260221938483566e-01
1.149756995397736903e+00,2.255642596656644017e-01,2.779920189791040830e-01,2.182356695134906044e-01,1.956361526328952438e-01
1.261856883066021062e+00,2.298832727546888943e-01,2.781184162996399589e-01,2.202334761147721753e-01,1.983902266635727552e-01
1.384886371393873050e+00,2.345651095673617625e-01,2.782454028427725490e-01,2.221782783530259486e-01,2.011548201829639337e-01
1.519911082952934755e+00,2.396346532979209965e-01,2.783725993326073844e-01,2.240657276009119236e-01,2.038907292257059467e-01
1.668100537200059241e+00,2.451174706294949601e-01,2.784996352268911401e-01,2.258924466118152896e-01,2.065542674092287756e-01
1.830738280295369780e+00,2.510396298039319074e-01,2.786261531457594476e-01,2.276559248040368466e-01,2.090992844472969736e-01
2.009233002565047776e+00,2.574274765648838503e-01,2.787518126309695976e-01,2.293544266152984790e-01,2.114797638649236200e-01
2.205130739903045534e+00,2.643073645722373577e-01,2.788762934503856705e-01,2.309869076322801362e-01,2.136526984918172278e-01
2.420128264794383366e+00,2.717053374701317026e-01,2.789992981456024257e-01,2.325529354492612555e-01,2.155808379961134946e-01
2.656087782946686904e+00,2.796467608559587426e-01,2.791205540470889090e-01,2.340526140998131499e-01,2.172348950050173588e-01
2.915053062825178731e+00,2.881559036667968865e-01,2.792398145019836520e-01,2.354865118298044013e-01,2.185949036238516996e-01
3.199267137797384475e+00,2.972554703031322632e-01,2.793568597562769984e-01,2.368555926106581389e-01,2.196506094693199129e-01
3.511191734215134641e+00,3.069660866599728255e-01,2.794714970121072728e-01,2.381611515163466475e-01,2.204009672060238678e-01
3.853528593710531247e+00,3.173057459976504902e-01,2.795835602338827552e-01,2.394047550184761342e-01,2.208529667322987056e-01
4.229242874389498752e+00,3.282892229856653188e-01,2.796929094363536095e-01,2.405881860903886782e-01,2.210200711950864871e-01
4.641588833612781961e+00,3.399274674006584895e-01,2.797994296204893150e-01,2.417133947403156125e-01,2.209205335439951012e-01
5.094138014816380178e+00,3.522269919722817999e-01,2.799030295152484804e-01,2.427824538938434529e-01,2.205757954876533811e-01
5.590810182512228721e+00,3.651892717760938378e-01,2.800036400187200236e-01,2.437975206308251597e-01,2.200090935372880363e-01
6.135907273413176100e+00,3.788101753614956380e-01,2.801012126207391706e-01,2.447608027306453771e-01,2.192443274637925210e-01
6.734150657750828550e+00,3.930794498947214333e-01,2.801957176383707004e-01,2.456745300025084955e-01,2.183051960576516404e-01
7.390722033525782386e+00,4.079802839767907585e-01,2.802871424670048128e-01,2.465409302699554939e-01,2.172145751184606510e-01
8.111308307896871739e+00,4.234889723015526908e-01,2.803754898332915246e-01,2.473622094680845152e-01,2.159940988506751092e-01
8.902150854450392004e+00,4.395747053508567426e-01,2.804607760839574748e-01,2.481405354828210008e-01,2.146639028113267456e-01
9.770099572992256398e+00,4.561995051329392759e-01,2.805430295110693528e-01,2.488780253867548531e-01,2.132424895785236529e-01
1.072267222010324339e+01,4.733183242781890954e-01,2.806222888125788906e-01,2.495767353904081443e-01,2.117466840805257711e-01
1.176811952434999142e+01,4.908793206244939089e-01,2.806986015730705830e-01,2.502386534755256520e-01,2.101916519451166865e-01
1.291549665014884063e+01,5.088243130966622063e-01,2.807720229937611389e-01,2.508656940749454112e-01,2.085909601845742367e-01
1.417474162926806258e+01,5.270894170674105261e-01,2.808426145007878461e-01,2.514596944722151672e-01,2.069566648073786208e-01
1.555676143930472222e+01,5.456058496209897912e-01,2.809104427469895082e-01,2.520224128927492924e-01,2.052994139344868074e-01
1.707352647470692020e+01,5.643008867624845770e-01,2.809755784304679427e-01,2.525555275506030650e-01,2.036285583006552935e-01
1.873817422860384951e+01,5.830989470874623493e-01,2.810380955116595914e-01,2.530606369802654854e-01,2.019522635479749084e-01
2.056512308348653661e+01,6.019227696730339305e-01,2.810980702745011772e-01,2.535392609262454577e-01,2.002776205074122684e-01
2.257019719633921540e+01,6.206946487995521622e-01,2.811555806632315413e-01,2.539928419776740220e-01,1.986107508236523156e-01
